Day,CaptureBlock_ID,SB_ID,Setup_Start_LST,Observation_Start_LST,Observation_End_LST,Band,Night_only,Visibility_window,Duration_hrs
5,20250408150432,DelayCal,5.773055555555561,5.773055555555561,6.023055555555561,l,No,,0.25
5,20250408150432,20241203210018,5.773055555555561,6.023055555555561,13.560000000000006,l,No,5.42-7.00,7.536944444444444
5,20250408225145,DelayCal,13.560000000000006,13.560000000000006,13.810000000000006,l,No,,0.25
5,20250408225145,20241216115201,13.560000000000006,13.810000000000006,20.202777777777783,l,No,12.50-15.00,6.392777777777778
5,20250409053019,DelayCal,20.202777777777783,20.202777777777783,20.452777777777783,l,No,,0.25
5,20250409053019,20250116182651,20.202777777777783,20.452777777777783,0.10638888888889397,l,No,20.00-2.50,3.6536111111111103
6,20250409092432,DelayCal,0.10638888888889397,0.10638888888889397,0.356388888888894,l,No,,0.25
6,20250409092432,20241207180321,0.10638888888889397,0.356388888888894,5.570833333333338,l,No,19.50-1.00,5.214444444444444
6,20250409145224,DelayCal,5.570833333333338,5.570833333333338,5.820833333333338,l,No,,0.25
6,20250409145224,20250303131128,5.570833333333338,5.820833333333338,11.980000000000004,l,No,1.50-14.50,6.159166666666667
6,20250409211657,DelayCal,11.980000000000004,11.980000000000004,12.230000000000004,s,No,,0.25
6,20250409211657,20241206140303,11.980000000000004,12.230000000000004,21.210000000000004,s,No,10.50-12.50,8.98
6,20250410063045,DelayCal,21.210000000000004,21.210000000000004,21.460000000000004,l,No,,0.25
6,20250410063045,20241120160021,21.210000000000004,21.460000000000004,0.10638888888889042,l,No,20.55-21.50,2.646388888888886
7,20250410092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
7,20250410092432,20241230104805,0.10638888888889042,0.3563888888888904,5.550555555555557,l,No,19.50-1.00,5.194166666666667
7,20250410145111,DelayCal,5.550555555555557,5.550555555555557,5.800555555555557,l,No,,0.25
7,20250410145111,20241126081929,5.550555555555557,5.800555555555557,11.925,l,No,4.00-6.33,6.124444444444444
7,20250410211339,DelayCal,11.925,11.925,12.175,u,No,,0.25
